Language,Level,acc,accuracy,age,average_response_time,avg_rt,b0,b1,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_welcome,count_Baseline_loop,count_Baseline_task,count_Context_condition,count_Context_loop,count_Pre_experiment,count_age,count_baseline_sequence,count_baseline_setup,count_baseline_test,count_baseline_test_1,count_baseline_test_sequence,count_con_test,count_con_test_,count_con_test_sequence,count_context_sequence,count_distraction_sequence,count_distraction_sequence_1,count_distraction_task,count_distraction_task_1,count_expSequence,count_experiment,count_experiment_loop,count_inner_baseline,count_inner_baseline_sequence,count_inner_context,count_inner_context_sequence,count_instructions,count_instructions_1,count_instructions_distraction,count_instructions_distraction_1,count_instructions_test,count_instructions_test_1,count_instructions_test_level,count_language,count_learning_session_setup,count_learning_session_setup_1,count_new_form_multiple_choice,count_new_inline_script,count_new_logger,count_new_logger_1,count_pre_test,count_present_distraction_1,count_present_distraction_1_1,count_present_distraction_1_2,count_present_trial,count_present_trial_1,count_save_data,count_save_data_1,count_shuffling,count_slimstampen_bs_setup,count_slimstampen_setup,count_test_level,count_test_sequence,count_test_setup,count_test_setup_1,count_trial_sequence,count_trial_sequence_1,count_welcome,datetime,description,disable_garbage_collection,empty_column,experiment_file,experiment_path,feedback_duration,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,form_response,fullscreen,height,ignore_this_variable,inter_trial_interval,keyboard_backend,logfile,mouse_backend,num_tested_correct,num_tested_correct_1,num_words_tested,num_words_tested_1,opensesame_codename,opensesame_version,pretest_num,pretest_start_time,psychopy_waitblanking,response,response_instructions,response_instructions_1,response_instructions_distraction,response_instructions_distraction_1,response_instructions_test,response_instructions_test_1,response_instructions_test_level,response_time,response_time_instructions,response_time_instructions_1,response_time_instructions_distraction,response_time_instructions_distraction_1,response_time_instructions_test,response_time_instructions_test_1,response_time_instructions_test_level,response_time_welcome,response_welcome,round_decimals,sampler_backend,seen_facts_bs,seen_facts_con,session_duration,session_start_time,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,test_bs,test_con,test_done,test_num_bs,test_num_con,time_Baseline_loop,time_Baseline_task,time_Context_condition,time_Context_loop,time_Pre_experiment,time_age,time_baseline_sequence,time_baseline_setup,time_baseline_test,time_baseline_test_1,time_baseline_test_sequence,time_con_test,time_con_test_,time_con_test_sequence,time_context_sequence,time_distraction_sequence,time_distraction_sequence_1,time_distraction_task,time_distraction_task_1,time_expSequence,time_experiment,time_experiment_loop,time_inner_baseline,time_inner_baseline_sequence,time_inner_context,time_inner_context_sequence,time_instructions,time_instructions_1,time_instructions_distraction,time_instructions_distraction_1,time_instructions_test,time_instructions_test_1,time_instructions_test_level,time_language,time_learning_session_setup,time_learning_session_setup_1,time_new_form_multiple_choice,time_new_inline_script,time_new_logger,time_new_logger_1,time_pre_test,time_present_distraction_1,time_present_distraction_1_1,time_present_distraction_1_2,time_present_trial,time_present_trial_1,time_save_data,time_save_data_1,time_shuffling,time_slimstampen_bs_setup,time_slimstampen_setup,time_test_level,time_test_sequence,time_test_setup,time_test_setup_1,time_trial_sequence,time_trial_sequence_1,time_up,time_up2,time_welcome,title,total_correct,total_response_time,total_responses,trial_num,trial_num_baseline,uniform_coordinates,width
48,2094658.802,13897.1949,TRUE,1,bewaren,Ik vind het fijn om al mijn bonnetjes in een map te <b>bewaren</b>.,Hoe lang kun je deze kaas <b>bewaren</b>?,keep;to keep,bewaren,FALSE,1148.6,0.276171875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2110807.319,1185.2118,TRUE,12,fluisteren,<b>Fluisteren</b> in het openbaar is niet beleefd.,Ik kon ze vanuit mijn tent horen <b>fluisteren</b>.,whisper;to whisper,<b>Fluisteren</b> in het openbaar is niet beleefd.,FALSE,817.1,0.250390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2115004.239,5256.1345,FALSE,4,beseffen,Ik <b>besef</b> dat ik het fout heb gedaan.,Ik heb niet <b>beseft</b> dat het zo laat was.,realize;to realize,Ik heb niet <b>beseft</b> dat het zo laat was.,TRUE,680.6,0.6296875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2122702.494,inf,TRUE,6,woordenschat,Ik heb een goede <b>woordenschat</b>.,Een boek lezen doet wonderen voor je <b>woordenschat</b>.,vocabulary,Ik heb een goede <b>woordenschat</b>.,FALSE,563.6,0.325390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2128385.758,3092.7795,TRUE,4,beseffen,Ik <b>besef</b> dat ik het fout heb gedaan.,Ik heb niet <b>beseft</b> dat het zo laat was.,realize;to realize,Ik heb niet <b>beseft</b> dat het zo laat was.,TRUE,680.6,0.642578125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2134422.185,1765.7686,TRUE,9,gemiddeld,Deze opleiding heeft <b>gemiddeld</b> 60 studenten per jaar.,De temperatuur in Nederland is <b>gemiddeld</b> 15 graden.,average;on average,gemiddeld,FALSE,1012.1,0.20078125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2138622.378,2527.4492,TRUE,4,beseffen,Ik <b>besef</b> dat ik het fout heb gedaan.,Ik heb niet <b>beseft</b> dat het zo laat was.,realize;to realize,Ik heb niet <b>beseft</b> dat het zo laat was.,TRUE,680.6,0.6421875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2143691.337,5045.283,TRUE,13,woede,Ik probeer mijn <b>woede</b> te onderdrukken.,Ik vind <b>woede</b> moeilijk om mee om te gaan.,rage;anger,Ik probeer mijn <b>woede</b> te onderdrukken.,FALSE,719.6,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2150956.798,1685.9217,TRUE,4,beseffen,Ik <b>besef</b> dat ik het fout heb gedaan.,Ik heb niet <b>beseft</b> dat het zo laat was.,realize;to realize,Ik heb niet <b>beseft</b> dat het zo laat was.,TRUE,680.6,0.641796875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2155486.354,2034.9482,TRUE,13,woede,Ik probeer mijn <b>woede</b> te onderdrukken.,Ik vind <b>woede</b> moeilijk om mee om te gaan.,rage;anger,Ik probeer mijn <b>woede</b> te onderdrukken.,FALSE,719.6,0.250390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2159692.651,1966.8899,TRUE,10,matig,De burger smaakte een beetje <b>matig</b>.,Ik ben <b>matig</b> enthousiast over deze activiteit.,mediocre,De burger smaakte een beetje <b>matig</b>.,FALSE,661.1,0.273828125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2164684.004,2464.8024,TRUE,11,voldoende,Ik heb <b>voldoende</b> tijd.,Verderop is er <b>voldoende</b> ruimte.,sufficient;enough,Ik heb <b>voldoende</b> tijd.,FALSE,407.6,0.312890625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2170001.22,1962.5887,FALSE,4,beseffen,Ik <b>besef</b> dat ik het fout heb gedaan.,Ik heb niet <b>beseft</b> dat het zo laat was.,realize;to realize,Ik heb niet <b>beseft</b> dat het zo laat was.,TRUE,680.6,0.6671875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,2174724.523,15179.9123,FALSE,14,meningen,Politici hebben altijd veel <b>meningen</b>.,Ik heb verschillende <b>meningen</b> over dit onderwerp.,opinions,Politici hebben altijd veel <b>meningen</b>.,FALSE,700.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,2192980.997,2731.3573,TRUE,4,beseffen,Ik <b>besef</b> dat ik het fout heb gedaan.,Ik heb niet <b>beseft</b> dat het zo laat was.,realize;to realize,Ik heb niet <b>beseft</b> dat het zo laat was.,TRUE,680.6,0.642578125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,2198206.712,1919.6901,TRUE,14,meningen,Politici hebben altijd veel <b>meningen</b>.,Ik heb verschillende <b>meningen</b> over dit onderwerp.,opinions,Politici hebben altijd veel <b>meningen</b>.,FALSE,700.1,0.250390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,2203043.233,7670.1921,FALSE,15,waarschuwen,Ik ben gekomen om u te <b>waarschuwen</b>.,Het alarm bestaat om je te <b>waarschuwen</b> voor gevaar.,warn;to warn;warning,Ik ben gekomen om u te <b>waarschuwen</b>.,FALSE,661.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,2212256.375,2159.4482,TRUE,4,beseffen,Ik <b>besef</b> dat ik het fout heb gedaan.,Ik heb niet <b>beseft</b> dat het zo laat was.,realize;to realize,Ik heb niet <b>beseft</b> dat het zo laat was.,TRUE,680.6,0.6359375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,2216872.37,1310.0512,TRUE,15,waarschuwen,Ik ben gekomen om u te <b>waarschuwen</b>.,Het alarm bestaat om je te <b>waarschuwen</b> voor gevaar.,warn;to warn;warning,Ik ben gekomen om u te <b>waarschuwen</b>.,FALSE,661.1,0.250390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,2220388.178,1366.569,TRUE,6,woordenschat,Ik heb een goede <b>woordenschat</b>.,Een boek lezen doet wonderen voor je <b>woordenschat</b>.,vocabulary,Ik heb een goede <b>woordenschat</b>.,FALSE,563.6,0.321875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,2224978.529,4117.8339,TRUE,16,alternatief,Ik vind thee geen goed <b>alternatief</b> voor koffie.,Ik heb een <b>alternatief</b> voorstel.,alternative,Ik vind thee geen goed <b>alternatief</b> voor koffie.,FALSE,895.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,2232419.216,24540.9768,FALSE,17,vervelend,Ik vind het <b>vervelend</b> als de koffie op is.,Doe eens niet zo <b>vervelend</b>.,annoying,Ik vind het <b>vervelend</b> als de koffie op is.,FALSE,797.6,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,2258915.774,2068.0377,TRUE,16,alternatief,Ik vind thee geen goed <b>alternatief</b> voor koffie.,Ik heb een <b>alternatief</b> voorstel.,alternative,Ik vind thee geen goed <b>alternatief</b> voor koffie.,FALSE,895.1,0.250390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
